claim_id,policy_id,occurrence_id,claim_type,peril,loss_date,fnol_date,proof_of_loss_date,received_date,status
CLM-24-0217,P-1006,OCC-24-0217,original,theft,2024-02-17,2024-02-18,2024-02-26,2024-02-20,paid
CLM-24-0305,P-1015,OCC-24-0305,original,fire,2024-03-05,2024-03-05,2024-03-20,2024-03-08,paid
CLM-24-0412,P-1020,OCC-24-0412,original,theft,2024-04-12,2024-04-12,2024-04-25,2024-04-15,paid
CLM-24-0601,P-1001,OCC-24-0601,original,theft,2024-05-30,2024-05-31,2024-06-03,2024-06-03,open
CLM-24-0602,P-1001,OCC-24-0602,original,fire,2024-06-01,2024-06-01,2024-06-04,2024-06-05,open
CLM-24-0603,P-1002,OCC-24-0603,original,theft,2024-05-01,2024-05-02,2024-05-30,2024-06-04,open
CLM-24-0616,P-1002,OCC-24-0616,original,water,2024-04-30,2024-05-28,2024-06-05,2024-06-10,open
CLM-24-0604,P-1003,OCC-24-0604,original,hail,2024-06-08,2024-06-08,2024-06-12,2024-06-12,open
CLM-24-0605,P-1004,OCC-24-0605,original,wind,2024-06-03,2024-06-03,2024-06-07,2024-06-07,open
CLM-24-0606,P-1005,OCC-24-0606,original,theft,2024-06-02,2024-06-02,2024-06-06,2024-06-06,open
CLM-24-0607,P-1006,OCC-24-0217,supplemental,theft,2024-02-17,2024-05-15,2024-05-20,2024-06-03,open
CLM-24-0608,P-1007,OCC-24-0608,original,fire,2024-05-10,2024-05-11,2024-05-15,2024-06-01,open
CLM-24-0609,P-1008,OCC-24-0609,original,theft,2024-05-25,2024-05-26,2024-06-03,2024-06-05,open
CLM-24-0610,P-1009,OCC-24-0610,original,water,2024-04-20,2024-04-21,2024-05-10,2024-06-02,open
CLM-24-0619,P-1010,OCC-24-0619,original,wind,2024-06-05,2024-06-05,2024-06-10,2024-06-11,open
CLM-24-0611,P-1011,OCC-24-0611,original,water,2024-05-18,2024-05-19,2024-05-22,2024-06-01,open
CLM-24-0612,P-1012,OCC-24-0612,original,theft,2024-05-19,2024-05-20,2024-05-25,2024-06-02,open
CLM-24-0613,P-1013,OCC-24-0613,original,fire,2024-06-10,2024-06-10,2024-06-14,2024-06-14,open
CLM-24-0614,P-1014,OCC-24-0614,original,theft,2024-06-04,2024-06-04,2024-06-08,2024-06-08,open
CLM-24-0615,P-1014,OCC-24-0614,supplemental,theft,2024-06-04,2024-06-17,2024-06-18,2024-06-20,open
CLM-24-0617,P-1015,OCC-24-0305,supplemental,fire,2024-03-05,2024-05-24,2024-05-28,2024-06-04,open
CLM-24-0618,P-1016,OCC-24-0618,original,theft,2024-03-20,2024-03-21,2024-05-30,2024-06-06,open
CLM-24-0620,P-1016,OCC-24-0620,original,hail,2024-06-12,2024-06-12,2024-06-17,2024-06-18,open
CLM-24-0621,P-1017,OCC-24-0621,original,water,2024-06-15,2024-06-15,2024-06-19,2024-06-20,open
CLM-24-0622,P-1018,OCC-24-0622,original,hail,2024-05-19,2024-05-19,2024-05-24,2024-06-03,open
CLM-24-0623,P-1019,OCC-24-0623,original,water,2024-06-01,2024-06-02,2024-06-06,2024-06-07,open
CLM-24-0624,P-1020,OCC-24-0624,original,theft,2024-06-07,2024-06-07,2024-06-12,2024-06-13,open
CLM-24-0625,P-1021,OCC-24-0625,original,hail,2024-06-13,2024-06-13,2024-06-18,2024-06-19,open
CLM-24-0626,P-1022,OCC-24-0626,original,theft,2024-06-01,2024-06-01,2024-06-05,2024-06-06,open
CLM-24-0627,P-1023,OCC-24-0627,original,theft,2024-05-28,2024-05-29,2024-06-03,2024-06-04,open
CLM-24-0628,P-1024,OCC-24-0628,original,fire,2024-06-09,2024-06-09,2024-06-13,2024-06-14,open
CLM-24-0629,P-1005,OCC-24-0629,original,water,2024-06-20,2024-06-20,2024-06-24,2024-06-25,open
CLM-24-0630,P-1013,OCC-24-0630,original,theft,2024-04-29,2024-05-01,2024-05-06,2024-06-01,open
