version_id,category,sublimit
PV-1001-A,jewelry,1500
PV-1001-A,cash,200
PV-1001-B,jewelry,1500
PV-1001-B,cash,200
PV-1001-B,electronics,5000
PV-1002-A,jewelry,1500
PV-1003-A,jewelry,2500
PV-1003-A,cash,200
PV-1004-A,jewelry,1500
PV-1004-A,electronics,5000
PV-1005-A,jewelry,1500
PV-1005-A,cash,200
PV-1006-A,jewelry,1500
PV-1006-A,electronics,5000
PV-1007-A,jewelry,1500
PV-1007-A,cash,200
PV-1008-A,jewelry,1500
PV-1008-B,jewelry,2500
PV-1008-B,firearms,2500
PV-1009-A,jewelry,1500
PV-1009-A,cash,200
PV-1010-A,jewelry,1500
PV-1010-A,electronics,5000
PV-1011-A,jewelry,1500
PV-1011-A,cash,200
PV-1012-A,jewelry,2500
PV-1013-A,jewelry,1500
PV-1013-A,cash,200
PV-1014-A,jewelry,1500
PV-1015-A,jewelry,1500
PV-1015-A,cash,200
PV-1016-A,jewelry,1500
PV-1016-B,jewelry,1500
PV-1017-A,jewelry,1500
PV-1017-A,cash,200
PV-1018-A,jewelry,1500
PV-1018-B,jewelry,1500
PV-1019-A,jewelry,1500
PV-1019-A,cash,200
PV-1020-A,jewelry,2500
PV-1020-A,cash,200
PV-1021-A,jewelry,1500
PV-1021-A,electronics,5000
PV-1022-A,jewelry,1500
PV-1022-B,jewelry,1500
PV-1022-B,cash,200
PV-1023-A,jewelry,1500
PV-1023-A,firearms,2500
PV-1024-A,jewelry,1500
