version_id,policy_id,effective_from,effective_to,contents_limit,flat_deductible,wind_hail_deductible_pct
PV-1001-A,P-1001,2023-06-01,2024-06-01,175000,1000,1
PV-1001-B,P-1001,2024-06-01,2025-06-01,175000,2500,2
PV-1002-A,P-1002,2023-05-01,2024-05-01,137500,1000,
PV-1003-A,P-1003,2024-01-15,2025-01-15,300000,2000,2
PV-1004-A,P-1004,2023-09-01,2024-09-01,240000,1500,
PV-1005-A,P-1005,2023-11-01,2024-11-01,160000,1000,2
PV-1006-A,P-1006,2023-08-15,2024-08-15,205000,1500,2
PV-1007-A,P-1007,2023-12-01,2024-12-01,105000,500,
PV-1008-A,P-1008,2023-10-01,2024-04-01,132500,1000,
PV-1008-B,P-1008,2024-04-01,2024-10-01,132500,1000,
PV-1009-A,P-1009,2024-03-01,2025-03-01,262500,1000,
PV-1010-A,P-1010,2023-07-15,2024-07-15,195000,1500,1
PV-1011-A,P-1011,2023-07-01,2024-07-01,150000,1000,1
PV-1012-A,P-1012,2023-11-20,2024-11-20,275000,2500,
PV-1013-A,P-1013,2023-10-01,2024-10-01,142500,1000,2
PV-1014-A,P-1014,2024-02-01,2025-02-01,120000,2500,
PV-1015-A,P-1015,2023-09-10,2024-09-10,63000,1000,
PV-1016-A,P-1016,2023-03-01,2024-03-01,212500,1500,1
PV-1016-B,P-1016,2024-04-15,2025-04-15,212500,1500,1
PV-1017-A,P-1017,2024-02-10,2025-02-10,187500,1000,
PV-1018-A,P-1018,2023-05-20,2024-05-20,180000,2000,2
PV-1018-B,P-1018,2024-05-20,2025-05-20,180000,2000,5
PV-1019-A,P-1019,2024-01-01,2025-01-01,97500,1000,
PV-1020-A,P-1020,2023-12-15,2024-12-15,305000,2500,
PV-1021-A,P-1021,2024-04-01,2025-04-01,170000,1500,2
PV-1022-A,P-1022,2023-06-01,2024-06-01,252500,1000,
PV-1022-B,P-1022,2024-06-01,,252500,1500,
PV-1023-A,P-1023,2023-09-01,2024-09-01,147500,1000,2
PV-1024-A,P-1024,2023-11-01,2024-11-01,115000,500,
