LNACCR01 RECON  legacy=data/MAINFRAME_LNOUT_202403.dat  candidate=out/LNOUT_202403.dat
ACCT        FIELD         LEGACY            CANDIDATE
1000233651  ACCRUED_INT   0000014869E       0000014869F
1001481225  ACCRUED_INT   0000019197B       0000019197C
1001481225  LATE_FEE      000000000         000008721
1002884749  ACCRUED_INT   0000015859E       0000015859F
1003210308  ACCRUED_INT   0000018147H       0000018147I
1003638879  DAYS_LATE     009               010
1003638879  STATUS        C                 L
1005073731  LATE_FEE      000000000         000002500
1005569313  ACCRUED_INT   0000016300A       0000016300B
1005569313  DAYS_LATE     005               006
1005569313  STATUS        C                 L
1005685762  DAYS_LATE     100               101
1005735731  DAYS_LATE     089               090
1005735731  STATUS        X                 W
1006304021  DAYS_LATE     013               014
1006304021  STATUS        C                 L
1006715599  ACCRUED_INT   0000012833F       0000012833G
1006931522  LATE_FEE      000000000         000005070
1007570889  LATE_FEE      000000000         000003500
1007639923  ACCRUED_INT   0000012737C       0000012737D
1007824737  DAYS_LATE     031               032
1007894038  DAYS_LATE     025               026
1007976956  ACCRUED_INT   0000003488C       0000003488D
1007976956  DAYS_LATE     083               084
1008070083  ACCRUED_INT   0000012250A       0000012250B
1008149099  ACCRUED_INT   0000009958A       0000009958B
1008149099  DAYS_LATE     027               028
1008692598  ACCRUED_INT   0000004346{       0000004346A
1008692598  DAYS_LATE     054               055
1009656686  LATE_FEE      000000000         000005457
1010024136  ACCRUED_INT   0000018209H       0000018209I
1010024136  DAYS_LATE     012               013
1010024136  STATUS        C                 L
1010297178  BALANCE       000000005440M     000000005440D
1011946677  LATE_FEE      000000000         000002500
1012238225  ACCRUED_INT   0000016919F       0000016919G
1012238225  DAYS_LATE     025               026
1012321384  ACCRUED_INT   0000019437E       0000019437F
1012587857  ACCRUED_INT   0000012860G       0000012860H
1012587857  DAYS_LATE     111               112
1013968811  LATE_FEE      000002000         000000000
1013968811  DAYS_LATE     027               028
1014446108  DAYS_LATE     019               020
1014706888  LATE_FEE      000002003         000002002
1014706888  DAYS_LATE     060               061
1014706888  STATUS        D                 X
1015291143  ACCRUED_INT   0000019808B       0000019808C
1015291143  DAYS_LATE     030               031
1015291143  STATUS        L                 D
1015837329  BALANCE       000000005437J     000000005437A
1015837329  ACCRUED_INT   0000000000{       0000000082A
1016144545  ACCRUED_INT   0000010782B       0000010961I
1016144545  DAYS_LATE     117               118
1016144545  ACCR_DAYS     060               061
1016886625  DAYS_LATE     117               118
1017043962  ACCRUED_INT   0000015918I       0000015919{
1017463784  ACCRUED_INT   0000019219H       0000019219I
1017463784  DAYS_LATE     104               105
1017583113  DAYS_LATE     013               014
1017583113  STATUS        C                 L
1018654393  DAYS_LATE     031               032
1019145338  ACCRUED_INT   0000041185I       0000041186A
1019507335  ACCRUED_INT   0000005202{       0000005202A
1019769908  ACCRUED_INT   0000018710A       0000018710B
1019769908  DAYS_LATE     083               084
1019898987  ACCRUED_INT   0000017394I       0000017395{
1019898987  LATE_FEE      000000000         000008301
1020107889  DAYS_LATE     072               073
1020687001  LATE_FEE      000000000         000002000
1021008362  ACCRUED_INT   0000016986B       0000016986C
1021017360  ACCRUED_INT   0000013977H       0000013977I
1021378755  DAYS_LATE     006               007
1021938853  LATE_FEE      000005114         000000000
1021938853  DAYS_LATE     016               017
1022119508  ACCRUED_INT   0000030326B       0000030326D
1022565256  LATE_FEE      000002430         000000000
1022565256  DAYS_LATE     052               053
1023319486  DAYS_LATE     115               116
1023405943  LATE_FEE      000000000         000002543
1023436089  LATE_FEE      000000000         000007071
1023518441  LATE_FEE      000000000         000002000
1024954024  LATE_FEE      000000000         000001500
1025358163  LATE_FEE      000000000         000003915
1026508071  ACCRUED_INT   0000018142H       0000018142I
1026508071  LATE_FEE      000000000         000006486
1027169077  DAYS_LATE     006               007
1027169077  STATUS        C                 L
1027783124  DAYS_LATE     013               014
1027850859  ACCRUED_INT   0000015943C       0000015943D
1027850859  DAYS_LATE     094               095
1028189388  DAYS_LATE     020               021
1028600118  ACCRUED_INT   0000037956B       0000038589{
1028600118  ACCR_DAYS     060               061
1028812125  DAYS_LATE     045               046
1029436632  ACCRUED_INT   0000016604I       0000016605{
1029967032  DAYS_LATE     005               006
1029967032  STATUS        C                 L
1029980269  DAYS_LATE     020               021
1030241057  ACCRUED_INT   0000000775A       0000000788A
1030241057  ACCR_DAYS     060               061
1030477359  DAYS_LATE     108               109
1030643896  DAYS_LATE     005               006
1030643896  STATUS        C                 L
1030672778  LATE_FEE      000000000         000001500
1030672778  DAYS_LATE     054               055
1031402379  LATE_FEE      000000000         000002500
1031582082  ACCRUED_INT   0000018942F       0000018942G
1031582082  DAYS_LATE     013               014
1031582082  STATUS        C                 L
1032887707  ACCRUED_INT   0000048038{       0000048038C
1032887707  LATE_FEE      000000000         000007539
1033194037  DAYS_LATE     023               024
1033557237  DAYS_LATE     027               028
1033700758  DAYS_LATE     034               035
1033730927  LATE_FEE      000000000         000004963
1033730927  DAYS_LATE     053               054
1034765219  LATE_FEE      000002000         000000000
1034765219  DAYS_LATE     062               063
1034857460  BALANCE       000001041111G     000001039532E
1034857460  ACCRUED_INT   0000005205F       0000005197G
1034857460  DAYS_LATE     004               005
1034860447  DAYS_LATE     006               007
1035491631  ACCRUED_INT   0000036422F       0000036422H
1036425266  ACCRUED_INT   0000015552E       0000015552F
1036616860  LATE_FEE      000000000         000003500
1036616860  DAYS_LATE     020               021
1037690883  ACCRUED_INT   0000013942A       0000013942B
1037971020  ACCRUED_INT   0000004874G       0000004874H
1038433020  ACCRUED_INT   0000013997H       0000013997I
1038433020  LATE_FEE      000007145         000000000
1038433020  DAYS_LATE     016               017
1040010327  ACCRUED_INT   0000018205I       0000018206{
1040010327  DAYS_LATE     009               010
1040010327  STATUS        C                 L
1040053500  ACCRUED_INT   0000014732E       0000014732F
1040053500  DAYS_LATE     027               028
1040587004  DAYS_LATE     017               018
1040914547  ACCRUED_INT   0000013571D       0000013571E
1040914547  DAYS_LATE     069               070
1041122712  DAYS_LATE     069               070
1041361793  DAYS_LATE     017               018
1042325390  LATE_FEE      000000000         000003500
1042379666  DAYS_LATE     074               075
1042786184  DAYS_LATE     118               119
1042848786  DAYS_LATE     104               105
1042884209  ACCRUED_INT   0000014357G       0000014357H
1042884209  DAYS_LATE     004               005
1042884209  STATUS        C                 L
1043902350  DAYS_LATE     089               090
1043902350  STATUS        X                 W
1044710826  DAYS_LATE     025               026
1045065689  ACCRUED_INT   0000012730H       0000012730I
1045065689  DAYS_LATE     027               028
1045381117  ACCRUED_INT   0000012817A       0000012817B
1045381117  DAYS_LATE     019               020
1045781185  DAYS_LATE     096               097
1045841596  LATE_FEE      000000000         000002935
1045841596  DAYS_LATE     010               011
1045841596  STATUS        C                 L
1045888714  DAYS_LATE     089               090
1045888714  STATUS        X                 W
1045914176  DAYS_LATE     060               061
1045914176  STATUS        D                 X
1046465699  DAYS_LATE     093               094
1046599786  DAYS_LATE     027               028
1047595069  ACCRUED_INT   0000043050A       0000043050C
1047677598  BALANCE       000000350919{     000000350181F
1047677598  ACCRUED_INT   0000001825E       0000001821G
1047677598  LATE_FEE      000002500         000000000
1047677598  DAYS_LATE     082               083
1048290571  ACCRUED_INT   0000004230F       0000004230G
