id,customer_id,reference,amount_cents,currency,due_date,status
1,1001,RE-2026-000001,2086682,EUR,2026-04-12,open
2,1001,RE-2026-000002,154837,EUR,2026-05-03,open
3,1001,RE-2026-000003,72184,EUR,2026-05-04,open
4,1001,RE-2026-000004,5848,EUR,2026-05-05,open
5,1001,RE-2026-000005,10208,EUR,2026-05-12,open
6,1001,RE-2026-000006,410313,EUR,2026-06-09,paid
7,1001,RE-2026-000007,334676,EUR,2026-06-25,open
8,1001,RE-2026-000008,18499,EUR,2026-07-07,open
9,1001,RE-2026-000009,168982,EUR,2026-07-11,open
10,1001,RE-2026/000010,7485,EUR,2026-07-25,open
11,1001,RE-2026-000011,896411,EUR,2026-08-14,open
12,1001,RE-2026-000012,6718,EUR,2026-08-22,open
13,1001,RE-2026-000013,9121,EUR,2026-08-29,open
14,1001,RE-2026-000014,10100,EUR,2026-08-31,open
15,1001,RE-2026-000015,17000,EUR,2026-09-09,open
16,1002,RE-2026/000016,8183,EUR,2026-03-02,open
17,1002,RE-2026-000017,2350825,EUR,2026-03-27,open
18,1002,RE-2026-000018,96462,EUR,2026-04-16,open
19,1002,RE-2026-000019,349831,EUR,2026-06-26,open
20,1002,RE-2026-000020,35864,EUR,2026-07-02,open
21,1003,RE-2026-000021,2325563,EUR,2026-03-21,open
22,1003,RE-2026-000022,103147,EUR,2026-04-10,paid
23,1003,RE-2026-000023,2167382,EUR,2026-05-20,open
24,1003,RE-2026-000024,5697,EUR,2026-06-13,open
25,1003,RE-2026-000025,17886,EUR,2026-07-03,open
26,1003,RE-2026-000026,54168,EUR,2026-07-18,open
27,1004,RE-2026-000027,396698,EUR,2026-04-15,open
28,1004,RE-2026-000028,70030,EUR,2026-04-20,open
29,1004,RE-2026-000029,2126542,EUR,2026-06-08,paid
30,1004,RE-2026-000030,14343,EUR,2026-06-20,open
31,1004,RE-2026-000031,1166986,EUR,2026-06-24,open
32,1004,RE-2026-000032,8985,EUR,2026-07-16,open
33,1004,RE-2026-000033,30831,EUR,2026-07-20,open
34,1004,RE-2026-000034,639489,EUR,2026-08-07,open
35,1004,RE-2026-000035,981258,EUR,2026-08-14,paid
36,1004,RE-2026/000036,1607243,EUR,2026-08-31,paid
37,1005,RE-2026-000037,152368,EUR,2026-04-22,paid
38,1005,RE-2026-000038,247867,EUR,2026-04-22,open
39,1005,RE-2026-39,112240,EUR,2026-05-12,open
40,1005,RE-2026-000040,13654,EUR,2026-05-22,open
41,1005,RE-2026/000041,789039,EUR,2026-06-05,open
42,1005,RE-2026-000042,10716,EUR,2026-06-12,paid
43,1005,RE-2026/000043,20524,EUR,2026-06-30,open
44,1005,RE-2026-000044,7106,EUR,2026-07-03,open
45,1005,RE-2026-000045,2150386,EUR,2026-07-09,open
46,1005,RE-2026-000046,40904,EUR,2026-07-13,open
47,1005,RE-2026/000047,1488347,EUR,2026-07-29,paid
48,1005,RE-2026-48,186042,EUR,2026-08-08,open
49,1005,RE-2026-000049,197955,EUR,2026-08-16,paid
50,1005,RE-2026-000050,6964,EUR,2026-08-22,paid
51,1005,RE-2026-000051,25245,EUR,2026-08-23,open
52,1005,RE-2026-000052,16871,EUR,2026-08-27,paid
53,1005,RE-2026-000053,1491131,EUR,2026-08-28,open
54,1006,RE-2026-000054,100915,EUR,2026-03-14,open
